,datetime,ID,lat,lon,avg_vel,address
23898,2017-10-17 03:00:00,1595994575,4.360275,50.87185,35.04545454545455,<[OK] Mapquest - Reverse [Square Jules De Trooz - Jules De Troozsquare]>
24058,2017-10-17 03:00:00,1130542186,4.347515,50.86129,0.0,<[OK] Mapquest - Reverse [Avenue du Port - Havenlaan]>
26126,2017-10-17 04:00:00,1130542186,4.353671,50.86864,7.882352941176471,<[OK] Mapquest - Reverse [Avenue du Port - Havenlaan]>
25838,2017-10-17 04:00:00,4263369928,4.361797,50.86745,21.95,<[OK] Mapquest - Reverse [Rue Destouvelles - Destouvellesstraat]>
26234,2017-10-17 04:00:00,3036099770,4.352984,50.86658,0.0,<[OK] Mapquest - Reverse [Avenue du Port - Havenlaan]>
24774,2017-10-17 04:00:00,1595994575,4.358945,50.87134,1.5714285714285714,<[OK] Mapquest - Reverse [All̩e Verte - Groendreef]>
27763,2017-10-17 05:00:00,1595994575,4.352142,50.8626,8.181818181818182,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
28373,2017-10-17 05:00:00,4247469238,4.359548,50.87113,0.0,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
26873,2017-10-17 05:00:00,75180076,4.359799,50.8718,0.0,<[OK] Mapquest - Reverse [All̩e Verte - Groendreef]>
26782,2017-10-17 05:00:00,3036099770,4.351577,50.86555,0.0,<[OK] Mapquest - Reverse [Ville de Bruxelles - Stad Brussel]>
27477,2017-10-17 05:00:00,1130542186,4.348079,50.86204,14.257142857142858,<[OK] Mapquest - Reverse [Avenue du Port - Havenlaan]>
27064,2017-10-17 05:00:00,1474772750,4.359799,50.87133,1.0,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
27211,2017-10-17 05:00:00,578781027,4.356021,50.85967,23.70731707317073,<[OK] Mapquest - Reverse [Rue du Peuple - Volksstraat]>
27274,2017-10-17 05:00:00,603859455,4.353397,50.85723,14.513513513513514,<[OK] Mapquest - Reverse [Chauss̩e d'Anvers - Antwerpsesteenweg]>
30162,2017-10-17 06:00:00,578781027,4.355904,50.85969,6.2631578947368425,<[OK] Mapquest - Reverse [Rue du Peuple - Volksstraat]>
30929,2017-10-17 06:00:00,4247469238,4.355669,50.86116,14.647058823529411,<[OK] Mapquest - Reverse [Boulevard Simon Bolivar - Simon Bolivarlaan]>
30645,2017-10-17 06:00:00,1606841784,4.358235,50.86369,8.821428571428571,<[OK] Mapquest - Reverse [Rue Rogier - Rogierstraat]>
30686,2017-10-17 06:00:00,603859455,4.355301,50.85982,2.125,<[OK] Mapquest - Reverse [Rue du Peuple - Volksstraat]>
29810,2017-10-17 06:00:00,75180076,4.359835,50.87103,16.266666666666666,<[OK] Mapquest - Reverse [All̩e Verte - Groendreef]>
29289,2017-10-17 06:00:00,1871092339,4.35892,50.86974,13.636363636363637,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
28771,2017-10-17 06:00:00,2701869097,4.360085,50.87257,14.722222222222221,<[OK] Mapquest - Reverse [Avenue de la Reine - Koninginnelaan]>
29369,2017-10-17 06:00:00,3036099770,4.362659,50.86897,9.214285714285714,<[OK] Mapquest - Reverse [Rue Masui - Masuistraat]>
29570,2017-10-17 06:00:00,1130542186,4.348434,50.85903,6.433333333333334,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
